Date,Type de jour TEMPO
2016-02-24,ROUGE
2016-02-25,ROUGE
2016-02-26,ROUGE
2016-02-27,BLEU
2016-02-28,BLEU
2016-02-29,ROUGE
2016-03-01,BLANC
2016-03-02,BLANC
2016-03-03,BLANC
2016-03-04,BLANC
2016-03-05,BLANC
2016-03-06,BLEU
2016-03-07,BLANC
2016-03-08,BLANC
2016-03-09,BLANC
2016-03-10,BLANC
2016-03-11,BLANC
2016-03-12,BLEU
2016-03-13,BLEU
2016-03-14,BLANC
2016-03-15,BLANC
2016-03-16,BLANC
2016-03-17,BLANC
2016-03-18,BLEU
2016-03-19,BLEU
2016-03-20,BLEU
2016-03-21,BLEU
2016-03-22,BLEU
2016-03-23,BLEU
2016-03-24,BLEU
2016-03-25,BLEU
2016-03-26,BLEU
2016-03-27,BLEU
2016-03-28,BLEU
2016-03-29,BLEU
2016-03-30,BLEU
2016-03-31,BLEU
2016-04-01,BLEU
2016-04-02,BLEU
2016-04-03,BLEU
2016-04-04,BLEU
2016-04-05,BLEU
2016-04-06,BLEU
2016-04-07,BLEU
2016-04-08,BLEU
2016-04-09,BLEU
2016-04-10,BLEU
2016-04-11,BLEU
2016-04-12,BLEU
2016-04-13,BLEU
2016-04-14,BLEU
2016-04-15,BLEU
2016-04-16,BLEU
2016-04-17,BLEU
2016-04-18,BLEU
2016-04-19,BLEU
2016-04-20,BLEU
2016-04-21,BLEU
2016-04-22,BLEU
2016-04-23,BLEU
2016-04-24,BLEU
2016-04-25,BLEU
2016-04-26,BLEU
2016-04-27,BLEU
2016-04-28,BLEU
2016-04-29,BLEU
2016-04-30,BLEU
2016-05-01,BLEU
2016-05-02,BLEU
2016-05-03,BLEU
2016-05-04,BLEU
2016-05-05,BLEU
2016-05-06,BLEU
2016-05-07,BLEU
2016-05-08,BLEU
2016-05-09,BLEU
2016-05-10,BLEU
2016-05-11,BLEU
2016-05-12,BLEU
2016-05-13,BLEU
2016-05-14,BLEU
2016-05-15,BLEU
2016-05-16,BLEU
2016-05-17,BLEU
2016-05-18,BLEU
2016-05-19,BLEU
2016-05-20,BLEU
2016-05-21,BLEU
2016-05-22,BLEU
2016-05-23,BLEU
2016-05-24,BLEU
2016-05-25,BLEU
2016-05-26,BLEU
2016-05-27,BLEU
2016-05-28,BLEU
2016-05-29,BLEU
2016-05-30,BLEU
2016-05-31,BLEU
2016-06-01,BLEU
2016-06-02,BLEU
2016-06-03,BLEU
2016-06-04,BLEU
2016-06-05,BLEU
2016-06-06,BLEU
2016-06-07,BLEU
2016-06-08,BLEU
2016-06-09,BLEU
2016-06-10,BLEU
2016-06-11,BLEU
2016-06-12,BLEU
2016-06-13,BLEU
2016-06-14,BLEU
2016-06-15,BLEU
2016-06-16,BLEU
2016-06-17,BLEU
2016-06-18,BLEU
2016-06-19,BLEU
2016-06-20,BLEU
2016-06-21,BLEU
2016-06-22,BLEU
2016-06-23,BLEU
2016-06-24,BLEU
2016-06-25,BLEU
2016-06-26,BLEU
2016-06-27,BLEU
2016-06-28,BLEU
2016-06-29,BLEU
2016-06-30,BLEU
2016-07-01,BLEU
2016-07-02,BLEU
2016-07-03,BLEU
2016-07-04,BLEU
2016-07-05,BLEU
2016-07-06,BLEU
2016-07-07,BLEU
2016-07-08,BLEU
2016-07-09,BLEU
2016-07-10,BLEU
2016-07-11,BLEU
2016-07-12,BLEU
2016-07-13,BLEU
2016-07-14,BLEU
2016-07-15,BLEU
2016-07-16,BLEU
2016-07-17,BLEU
2016-07-18,BLEU
2016-07-19,BLEU
2016-07-20,BLEU
2016-07-21,BLEU
2016-07-22,BLEU
2016-07-23,BLEU
2016-07-24,BLEU
2016-07-25,BLEU
2016-07-26,BLEU
2016-07-27,BLEU
2016-07-28,BLEU
2016-07-29,BLEU
2016-07-30,BLEU
2016-07-31,BLEU
2016-08-01,BLEU
2016-08-02,BLEU
2016-08-03,BLEU
2016-08-04,BLEU
2016-08-05,BLEU
2016-08-06,BLEU
2016-08-07,BLEU
2016-08-08,BLEU
2016-08-09,BLEU
2016-08-10,BLEU
2016-08-11,BLEU
2016-08-12,BLEU
2016-08-13,BLEU
2016-08-14,BLEU
2016-08-15,BLEU
2016-08-16,BLEU
2016-08-17,BLEU
2016-08-18,BLEU
2016-08-19,BLEU
2016-08-20,BLEU
2016-08-21,BLEU
2016-08-22,BLEU
2016-08-23,BLEU
2016-08-24,BLEU
2016-08-25,BLEU
2016-08-26,BLEU
2016-08-27,BLEU
2016-08-28,BLEU
2016-08-29,BLEU
2016-08-30,BLEU
2016-08-31,BLEU
L�ensemble des informations disponibles sur �CO2mix sont fournies � titre purement informatif par RTE qui ne pourra �tre tenu responsable de l'usage qui pourrait �tre fait de ces donn�es. Conform�ment � la D�lib�ration de la Commission de R�gulation de l�Energie du 30 octobre 2014 portant d�cision sur les missions des gestionnaires de r�seaux d��lectricit� relative aux tarifs � effacement de type Tempo, la seule information de r�f�rence sur la couleur des jours pour les tarifs � effacement de type Tempo est disponible sur le site client de RTE � l�adresse suivante : http://clients.rte-france.com/lang/fr/visiteurs/vie/tempo.jsp.
